iso3,year,gdp_per_capita
GRD,2001,4819.50776653843
GRL,2001,19275.4339659556
GTM,2001,1537.68663578252
GUY,2001,931.574723847673
HIC,2001,22119.2818075546
HKG,2001,25230.3780910304
HND,2001,1132.1648753329
HPC,2001,353.858262986775
HRV,2001,5364.83824691607
HTI,2001,748.821159844528
HUN,2001,5276.03318905496
IBD,2001,1477.36945705172
IBT,2001,1245.67361419728
IDA,2001,441.615846410528
IDB,2001,587.754375329136
IDN,2001,732.307093405708
IDX,2001,369.440641317888
IMN,2001,21819.7123825606
IND,2001,450.357900514128
IRL,2001,28282.409882073
IRN,2001,1881.02266634748
IRQ,2001,1435.695683789
ISL,2001,28897.4439396908
ISR,2001,20907.1143041538
ITA,2001,20571.4787737914
JAM,2001,3503.55026688858
JOR,2001,1632.29454010563
JPN,2001,34406.1824638092
KAZ,2001,1422.27331810957
KEN,2001,410.700452474814
KGZ,2001,308.411326685178
KHM,2001,327.500984314444
KIR,2001,718.833757321332
KNA,2001,10022.5919235637
KOR,2001,11561.2071745115
KWT,2001,17374.2318664227
LAC,2001,4121.55299445651
LAO,2001,320.316005439568
LBN,2001,4009.55929751102
LBR,2001,300.463828598983
LBY,2001,6312.80030498965
LCA,2001,5570.45247098106
LCN,2001,4326.54800510521
LDC,2001,313.199360647217
LIC,2001,292.091682554271
LIE,2001,75067.8001680043
LKA,2001,803.544026627385
LMC,2001,552.570371841833
LMY,2001,1146.54808805581
LSO,2001,412.677473676821
LTE,2001,1714.59831358618
LTU,2001,3532.52787363242
LUX,2001,48440.1420151355
LVA,2001,3504.61829462397
MAC,2001,15810.7227666562
MAR,2001,1506.24523925781
MCO,2001,82402.7809570189
MDA,2001,507.404076252819
MDG,2001,319.283278235657
MDV,2001,3033.93234507036
MEA,2001,3028.86353301732
MEX,2001,7952.7647961764
MHL,2001,2394.34501105178
MIC,2001,1221.81919160791
MKD,2001,1823.02267682636
MLI,2001,291.159497911347
MLT,2001,10357.7040358668
MMR,2001,141.525660705722
MNA,2001,1636.04338864997
MNE,2001,1909.59870186179
MNG,2001,524.453483552485
MOZ,2001,304.792138621913
MRT,2001,651.817840199777
MUS,2001,3908.55694927435
MWI,2001,215.474524898357
MYS,2001,3943.79943910239
NAC,2001,35831.4544724133
NAM,2001,1915.58926594875
NCL,2001,14482.3606263602
NER,2001,205.417936120931
NGA,2001,566.428231812933
NIC,2001,1051.874235891
NLD,2001,26955.7128032278
NOR,2001,38601.897639231
NPL,2001,240.795114544664
NRU,2001,2232.30874026726
NZL,2001,13882.8568268586
OED,2001,22648.1438161001
OMN,2001,9611.96360191054
OSS,2001,5324.24587169112
PAK,2001,609.939506905073
PAN,2001,3991.7767076924
PER,2001,1929.57273038846
PHL,2001,969.530611744453
PLW,2001,8239.63931376602
PNG,2001,537.847459634131
POL,2001,5015.23790036613
PRE,2001,464.939636150915
PRI,2001,18123.1987019918
PRT,2001,11734.7649743954
PRY,2001,1637.68615122932
PSE,2001,1335.55319529359
PSS,2001,1639.28206962823
PST,2001,25491.5973373962
PYF,2001,14640.9360062298
QAT,2001,25870.7991864314
ROU,2001,1825.19299373184
RUS,2001,2100.3525390625
RWA,2001,237.308846200901
SAS,2001,460.173372988465
SAU,2001,10805.311325122
SDN,2001,451.293304443359
SEN,2001,637.213530563724
SGP,2001,21699.7414868907
SLB,2001,911.791935385411
SLE,2001,358.31568592361
SLV,2001,2058.04459070452
SMR,2001,39035.1034290445
SOM,2001,244.914842538455
SRB,2001,1812.42088281393
SSA,2001,585.719812696865
SSF,2001,586.603926531548
SST,2001,5053.81529458813
STP,2001,518.88050130005
SUR,2001,1714.64846637242
SVK,2001,5712.47802761654
SVN,2001,10375.6255869861
SWE,2001,27259.4806735435
SWZ,2001,1467.5389023828
SYC,2001,8153.2986369879
SYR,2001,1186.82913474027
TCA,2001,18325.7458111974
TCD,2001,194.32295331156
TEA,2001,1018.02508088273
TEC,2001,2079.66473968776
TGO,2001,396.692654520135
THA,2001,1889.93432467144
TJK,2001,168.676285365186
TKM,2001,756.034976276398
TLA,2001,4222.90265329048
TLS,2001,587.804355560918
TMN,2001,1639.14244474804
TON,2001,1753.5165946314
TSA,2001,460.173372988465
TSS,2001,586.603926531548
TTO,2001,6657.41466937221
TUN,2001,2235.71981624751
TUR,2001,3045.55413956926
TUV,2001,1456.78409421177
TZA,2001,396.638732910156
UGA,2001,236.021188853993
UKR,2001,800.49072265625
UMC,2001,1828.19261503455
URY,2001,6382.76104740859
USA,2001,37133.6203973517
UZB,2001,454.415812256778
VCT,2001,4071.08601098962
VEN,2001,4920.39313600453
VNM,2001,419.205677580901
VUT,2001,1350.18338238522
WLD,2001,5387.58499837168
WSM,2001,1453.87021324606
YEM,2001,487.141257946318
ZAF,2001,2847.15191945908
ZMB,2001,396.548952993504
ZWE,2001,566.107646563399
ABW,2002,21307.2482505267
AFE,2002,625.998814954319
AFG,2002,178.954088379235
AFW,2002,616.796033062474
AGO,2002,882.147847234303
ALB,2002,1425.12421860142
AND,2002,26528.130158144
ARB,2002,2483.10723424941
ARE,2002,27753.6089526346
ARG,2002,2569.69963519124
ARM,2002,742.651118319819
ASM,2002,8972.69636535698
ATG,2002,11657.3487497259
AUS,2002,20301.8431713256
AUT,2002,26334.862215032
AZE,2002,763.108895463487
BDI,2002,120.952308575468
BEL,2002,25006.191397109
BEN,2002,546.463829658159
BFA,2002,285.654087637533
BGD,2002,393.886422327628
BGR,2002,2092.98288625558
BHR,2002,13501.4708801425
BHS,2002,26781.6195938652
BIH,2002,1606.54672243362
BLR,2002,1479.38066337175
BLZ,2002,4861.74314184267
BMU,2002,63358.5658652763
BOL,2002,888.221328974352
BRA,2002,2855.94018885769
BRB,2002,11760.4524736133
BRN,2002,18621.2922677806
BTN,2002,895.799489930972
BWA,2002,3117.25087183011
CAF,2002,248.639290978403
CAN,2002,24256.0192337185
CEB,2002,4941.08494540774
CHE,2002,42458.7384679187
CHI,2002,44459.7318188977
CHL,2002,4430.84741157069
CHN,2002,1148.51425710711
CIV,2002,967.815864415991
CMR,2002,789.623811072554
COD,2002,162.38052907429
COG,2002,905.538135544704
COL,2002,2428.92969771584
COM,2002,762.116930318449
CPV,2002,1328.57874270666
CRI,2002,4067.71851429092
CSS,2002,6957.1548298183
CUB,2002,3005.21104247868
CUW,2002,16723.6925253468
CYP,2002,16093.2158203125
CZE,2002,8101.26018588111
DEU,2002,25486.5942008748
DJI,2002,743.013270420348
DMA,2002,4873.64220013013
DNK,2002,33257.1622586509
DOM,2002,3065.60329524196
DZA,2002,1937.46411413019
EAP,2002,1103.59067285494
EAR,2002,1251.00892977928
EAS,2002,3793.34541491271
ECA,2002,1768.77803665239
ECS,2002,12843.6996685135
ECU,2002,2059.1585535974
EGY,2002,1116.82884626213
EMU,2002,22049.3482385273
ERI,2002,304.775756465092
ESP,2002,17111.0685058941
EST,2002,5343.18310760735
ETH,2002,109.593813612988
EUU,2002,18799.0954341052
FCS,2002,684.36449919632
FIN,2002,26989.389260959
